hour,pv_1,pv_2,pv_3,pv_4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.22,0.0,0.0,0.0
7,0.4,0.05,0.02,0.0
8,0.58,0.17,0.05,0.0
9,0.72,0.28,0.08,0.0
10,0.82,0.39,0.12,0.0
11,0.86,0.49,0.18,0.02
12,0.88,0.56,0.22,0.08
13,0.88,0.58,0.22,0.12
14,0.82,0.5,0.18,0.08
15,0.7,0.4,0.11,0.02
16,0.52,0.3,0.08,0.0
17,0.38,0.15,0.05,0.0
18,0.18,0.05,0.02,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
