plan,scenario,daily_operating_cost_yuan,daily_cost_with_capital_yuan,cost_per_ton_nh3_yuan,grid_import_mwh,grid_export_mwh,renewable_available_mwh,curtailment_mwh,curtailment_rate,official_self_use_ratio,official_green_power_ratio,official_export_ratio,all_official_metrics_pass,alk_h2_share
stochastic_24_scenarios,W1_P1,203597.91884734936,209314.40302771417,3876.1926486613734,248.9129571729123,204.41337199211364,761.7640000000001,0.0,0.0,0.492360589699767,0.6728127659055516,0.2683421269476027,False,0.38802526784778923
stochastic_24_scenarios,W1_P2,275208.85449044226,280925.3386708071,5202.321086496428,305.8790204475673,-2.8811820380908285e-14,503.204,0.0,0.0,1.060556311925283,0.5993697623445063,-5.725673957462239e-17,True,0.3986280382446185
stochastic_24_scenarios,W1_P3,355700.31189588184,361416.79607624665,6692.903631041605,468.2456631181235,9.457982709343475e-15,337.444,0.0,0.0,1.0852529514242941,0.40438715552998866,2.8028303094271865e-17,True,0.3675952516619183
stochastic_24_scenarios,W1_P4,393030.9240421749,398747.4082225397,7384.2112633803645,537.5663414172537,-2.1207816998515642e-16,272.80400000000003,0.0,0.0,1.1623002316017588,0.3192009819022492,-7.774012477278793e-19,True,0.38086307692307697
stochastic_24_scenarios,W2_P1,227884.0564741453,233600.5406545101,4325.935938046484,285.48621886891226,137.50938380129645,658.904,0.0,0.0,0.6162037063634271,0.6289329040059717,0.20869410991782786,False,0.3945149231599657
stochastic_24_scenarios,W2_P2,311889.37645225576,317605.8606326206,5881.590011715196,406.3209217371709,3.19867479840159e-14,400.344,0.0,0.0,1.05524597120781,0.48305084801429166,7.989815754455144e-17,True,0.3925709839303034
stochastic_24_scenarios,W2_P3,397673.2979566409,403389.7821370057,7470.181150685291,573.9285545677322,3.3320475768521332e-15,234.584,0.0,0.0,1.155237547249204,0.27763759523880505,1.4204070085138515e-17,False,0.37961846153846157
stochastic_24_scenarios,W2_P4,436084.2515558535,441800.73573621834,8181.495106226265,641.0139987032946,1.7775893268813898e-14,169.94400000000002,0.0,0.0,1.2606210522691845,0.19870704720584123,1.0459853403953005e-16,False,0.38711111111111113
stochastic_24_scenarios,W3_P1,196972.43267472982,202688.91685509463,3753.4984602795303,227.94711592938484,203.24239946464104,780.8400000000001,0.0,0.0,0.5077280346172401,0.697881804866782,0.26028686986404515,False,0.38029905702157835
stochastic_24_scenarios,W3_P2,268736.44217721245,274452.92635757726,5082.461599214394,284.76219966288016,-4.487863514676096e-14,522.28,0.0,0.0,1.0508495945731928,0.6265355643185043,-8.592830502175262e-17,True,0.38934376959214717
stochastic_24_scenarios,W3_P3,347145.4964662645,352861.9806466293,6534.481123085728,450.2319847607278,-9.526813127612383e-14,356.52000000000004,0.0,0.0,1.0852771004185446,0.4258709676995915,-2.6721679366129197e-16,True,0.3748194197081514
stochastic_24_scenarios,W3_P4,384319.1971296044,390035.6813099692,7222.882987221652,518.8173951496357,-4.667914902938423e-14,291.88000000000005,0.0,0.0,1.1516500073455171,0.34139568967607475,-1.599258223563938e-16,True,0.38412461538461534
